transaction_id,order_id,order_line_number,order_date,order_year,order_month,order_month_name,order_quarter,order_day_of_week,ship_date,delivery_date,customer_id,customer_full_name,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_state,customer_zip,customer_region,customer_segment,customer_gender,customer_age,customer_age_group,product_id,product_name,sku,brand,category,sub_category,department,quantity_ordered,unit_list_price,discount_pct,unit_selling_price,line_total_before_tax,tax_rate_pct,tax_amount,line_total_with_tax,store_id,store_name,store_city,store_state,store_region,store_type,employee_id,employee_name,employee_job_title,promo_id,promo_name,sales_channel,payment_method,shipping_method,order_status,is_returned,cost_price,gross_profit,data_source,record_created_ts,last_modified_ts
TXN-10003077-8199,10003077,5,06/05/2020,2020,6,June,Q2,Friday,"June 07, 2020",2020/06/09,1423,Prof. Joyce Moore,Joyce,Moore,,518.522.7940,kansas city,Missouri,13825,Midwest,Silver,FEMALE,23,18-25,2058,Desk Lamp LED Adjustable,SKU-2058-2037,LumLight,Office,Lighting,Books & Office,1,44.99,37.0,28.34,28.34,5.0,1.42,29.76,3024,Lakefront Outlet,San Antonio,TX,South,Pop-Up,4039,Donna Sanders,Account Executive,5023,Flash Sale,APP,Google Pay,standard shipping,CANCELLED,0,$23.50,4.84,erp,2020-06-05 00:00:00,2020-06-08 00:00:00
TXN-10003264-8639,10003264,2,2024/09/30,2024,9,September,Q3,Monday,2024-09-30,04/10/2024,1364,Dr. Eric Sanchez,Eric,Sanchez,eric_sanchez988@protonmail.com,+16178032028,San Jose,CA,89791,West,Silver,Prefer not to say,41,36-50,2017,Sports Backpack 30L,SKU-2017-5600,PackPro,bags,Backpacks,Apparel & Sports,2,$54.99,22.0,$42.89,85.78,6.0,5.15,90.93,3008,Lakefront Standard,Cleveland,OH,Midwest,Pop-Up,4086,Samuel Ward,Regional Manager,5027,Weekend Deal,catalog,Cash,Express Shipping,Delivered,1,40.56,45.22,crm,2024-09-30 00:00:00,
TXN-10005068-13571,10005068,2,02/02/2024,2024,2,February,Q1,Friday,02/16/2024,02/24/2024,1526,Steven Watson,Steven,Watson,steven.watson@mail.com,832.258.3718,Oklahoma City,Oklahoma,66792,South,Bronze,M,23,18-25,2007,Portable Bluetooth Speaker,SKU-2007-6416,SoundPro,Electronics,Audio,Technology,3,59.99,30.0,$41.99,125.97,5.0,6.30,132.27,3015,Lakefront Outlet,Fresno,California,West,Pop-Up,4076,James Ruiz,Account Executive,5015,Cyber Monday,APP,Cash,EXPRESS,pending,FALSE,72.42,53.55,ERP,2024-02-02 00:00:00,2024-02-07 00:00:00
TXN-10005451-14626,10005451,2,08/05/2020,2020,5,May,Q2,Friday,21/05/2020,"May 26, 2020",1174,Nicole Castillo,Nicole,Castillo,nicole.castillo@protonmail.com,873.962.8974,Milwaukee,Wisconsin,98487,Midwest,Bronze,Male,56,51-65,2047,Sunscreen SPF 50 Spray,SKU-2047-1674,SunGuard,Health,Skincare,Health & Beauty,2,16.99,0.0,16.99,33.98,5.0,1.70,35.68,3050,Uptown Express,Philadelphia,PA,Northeast,Flagship,4030,Raymond Watson,Customer Advisor,,No Promo,In-Store,debit card,STANDARD,Processing,TRUE,14.46,$19.52,pos,2020-05-08 00:00:00,
TXN-10005599-15006,10005599,2,"January 07, 2023",2023,1,January,Q1,Saturday,21-01-2023,2023-01-23,1483,Jennifer Gomez,Jennifer,Gomez,jennifergomez447@hotmail.com,(382) 388-3962,Seattle,Washington,94871,West,Silver,female,28,26-35,2059,Folder Organizer 10-Pack,SKU-2059-2635,FilePro,OFFICE,filing,Books & Office,2,$12.99,36.0,$8.31,16.62,6.0,1.00,17.62,3026,North Gate Standard,Albuquerque,New Mexico,West,Flagship,4080,Frank Wright,Senior Sales Associate,5018,Loyalty Reward,In-Store,Apple Pay,Express,Pending,FALSE,11.18,5.44,POS,2023-01-07 00:00:00,2023-01-09 00:00:00
TXN-10004975-13313,10004975,3,2020/07/12,2020,7,July,Q3,Sunday,2020/07/14,2020/07/24,1281,Ms. Eric Evans,Eric,Evans,ericevans@hotmail.com,583-671-2331,New York,NY,27397,Northeast,Platinum,female,27,26-35,2059,Folder Organizer 10-Pack,SKU-2059-2635,FilePro,OFFICE,filing,Books & Office,2,12.99,30.0,9.09,18.18,5.0,$0.91,19.09,3001,North Gate Express,Baltimore,Maryland,Northeast,Standard,4026,Alexander Ross,Sales Consultant,5015,Cyber Monday,Online,Gift Card,Same Day,returned,N,11.18,,POS,2020-07-12 00:00:00,2020-07-14 00:00:00
TXN-10001969-5204,10001969,3,2022/06/06,2022,6,June,Q2,Monday,06/09/2022,"June 15, 2022",1261,Joshua Campbell,Joshua,  Campbell ,joshuacampbell237@outlook.com,+13452364851,Denver,Colorado,45428,West,Gold,MALE,40,36-50,2031,Yoga Mat Non-Slip,SKU-2031-6532,ZenFit,SPORTS,Exercise,Fitness & Outdoors,4,39.99,0.0,39.99,159.96,8.0,$12.80,172.76,3025,Downtown Hub Pop-Up,Colorado Springs,CO,West,Outlet,4091,Laura Robinson,Customer Advisor,,No Promo,mobile,Bank Transfer,Free Shipping,cancelled,Yes,68.56,91.40,pos,2022-06-06 00:00:00,2022-06-08 00:00:00
TXN-10001160-3099,10001160,2,2024-04-18,2024,4,April,Q2,Thursday,2024-04-23,,1194,Prof. Angela Stewart,Angela,Stewart,angela_stewart@hotmail.com,,  Raleigh ,NC,69133,South,Bronze,,55,51-65,2034,Camping Tent 4-Person,SKU-2034-5579,WildCamp,Sports,  Camping ,Fitness & Outdoors,1,$189.99,23.0,$146.29,146.29,9.0,$13.17,159.46,3015,Lakefront Outlet,Fresno,California,West,Pop-Up,4073,Jennifer Martin,Sales Representative,5006,No Promo,Web,Debit Card,Free Shipping,Returned,FALSE,97.31,$48.98,web,2024-04-18 00:00:00,2024-04-21 00:00:00
TXN-10005059-13543,10005059,4,2022/02/28,2022,2,February,Q1,Monday,03/03/2022,2022/03/09,1357,Donna Rivera,Donna,Rivera,donna.rivera@@@icloud.com,8276716684,Omaha,NE,86758,Midwest,Silver,Female,49,36-50,2001,Wireless Bluetooth Headphones,SKU-2001-7938,SoundPro,Electronics,Audio,Technology,2,149.99,0.0,149.99,$299.98,10.0,30.00,$329.98,3008,Lakefront Standard,Cleveland,OH,Midwest,Pop-Up,4076,James Ruiz,Account Executive,,No Promo,APP,gift card,Same Day Delivery,Pending,Yes,$133.82,166.16,pos,2022-02-28 00:00:00,
TXN-10006971-18683,10006971,3,"May 15, 2023",2023,5,May,Q2,Monday,,2023-06-05,1211,Donna Lewis,DONNA,Lewis,donnalewis588@outlook.com,585-260-6458,Albuquerque,NM,39500,West,Platinum,Female,27,26-35,2008,Smartwatch Fitness Tracker,SKU-2008-6735,FitTech,electronics,Wearables,Technology,1,199.99,21.0,$157.99,$157.99,9.0,$14.22,172.21,3038,Midtown Express,Tucson,Arizona,West,Standard,4002,Catherine Jimenez,Store Manager,5003,Flash Sale,mobile,Bank Transfer,Pickup,CANCELLED,0,91.70,66.29,POS,2023-05-15 00:00:00,2023-05-20 00:00:00
TXN-10003044-8104,10003044,1,07/27/2022,2022,7,July,Q3,Wednesday,08/05/2022,08/12/2022,1222,Mr. Charles Diaz,Charles,  Diaz ,charles_diaz288@mail.com,(386) 241-1008,Cleveland,OH,46721,Midwest,Platinum,male,33,26-35,2063,LEGO Building Set 500pcs,SKU-2063-6728,BrickWorld,Toys,Building,Toys & Games,10,$59.99,48.0,31.19,311.90,6.0,18.71,330.61,3020,Parkway Express,San Francisco,California,west,Outlet,4010,Jason Rogers,Sales Representative,5022,no promo,ONLINE,gift card,Same Day Delivery,Shipped,Y,$279.40,,Manual,2022-07-27 00:00:00,2022-07-28 00:00:00
TXN-10005619-15058,10005619,4,"March 18, 2021",2021,3,March,Q1,Thursday,03/19/2021,2021-03-26,1581,Ms. Julie Smith,Julie,Smith,julie.smith284@hotmail.com,564.614.2509,San Francisco,California,53583,West,Platinum,,62,51-65,2037,Jump Rope Speed,SKU-2037-3077,JumpPro,SPORTS,Exercise,Fitness & Outdoors,3,14.99,0.0,14.99,44.97,5.0,2.25,47.22,3031,Midtown Standard,Tucson,Arizona,West,Flagship,4072,Deborah Ruiz,Regional Manager,,NO PROMO,Mobile App,Gift Card,Same Day,pending,TRUE,24.99,,erp,2021-03-18 00:00:00,2021-03-20 00:00:00
TXN-10001271-3400,10001271,2,"Mar 23, 2021",2021,3,March,Q1,Tuesday,2021-03-28,04/01/2021,1526,Steven Watson,Steven,Watson,steven.watson@mail.com,832.258.3718,Oklahoma City,Oklahoma,66792,South,Bronze,M,23,18-25,2008,Smartwatch Fitness Tracker,SKU-2008-6735,FitTech,electronics,Wearables,Technology,1,199.99,0.0,$199.99,199.99,10.0,$20.00,$219.99,3014,Highland Express,Columbus,OH,MIDWEST,Express,4030,Raymond Watson,Customer Advisor,,No Promo,Phone,gift card,In-Store Pickup,shipped,1,91.70,108.29,web,2021-03-23 00:00:00,2021-03-26 00:00:00
TXN-10006323-16969,10006323,2,12-02-2022,2022,2,February,Q1,Saturday,2022-02-23,01/03/2022,1557,Helen Johnson,Helen,Johnson,helen.johnson@@@yahoo.com,602-491-5028,Tucson,AZ,29732,West,Silver,non-binary,34,26-35,2029,Knife Set 15-Piece,SKU-2029-3026,BladeEdge,Kitchen,Cutlery,Home & Garden,1,149.99,26.0,$110.99,110.99,10.0,11.10,122.09,3020,Parkway Express,San Francisco,California,west,Outlet,4060,Matthew Mendoza,Senior Sales Associate,5011,Flash Sale,Catalog,CREDIT CARD,Express,pending,1,$81.61,,pos,2022-02-12 00:00:00,2022-02-16 00:00:00
TXN-10004626-12361,10004626,2,"May 12, 2021",2021,5,May,Q2,Wednesday,2021-05-14,05/16/2021,1511,Benjamin Long,Benjamin,Long,benjamin_long@yahoo.com,5484286532,San Jose,California,31819,West,Bronze,Non-Binary,31,26-35,2065,Puzzle 1000 Pieces Landscape,SKU-2065-4893,MindBuilder,Toys,Puzzles,Toys & Games,2,19.99,0.0,19.99,39.98,5.0,$2.00,$41.98,3011,North Gate Flagship,Memphis,Tennessee,SOUTH,Standard,4027,Ashley Campbell,Regional Manager,,No Promo,PHONE,gift card,Express,Pending,FALSE,20.26,$19.72,erp,2021-05-12 00:00:00,2021-05-12 00:00:00
